S.No,Text,,,,,,,,,,,,,,,,,,,,,
10,"hello sir i'm in small village in UP sir i say you about medicine MRP system in my country MRP is too high and every seller take price on MRP why sir. in this case medicine too costly please take action on MRP system.
thank you",,,,,,,,,,,,,,,,,,,,,
1,**VERY URGENT**,,,,,,,,,,,,,,,,,,,,,
2,"Dear Sir,
Now a days all TV chanels running back to TRP.
We are not getting actual news about our nations tradition, culture, richness, growth and success stories.
Request to stregnthen Doordarshan. Give more such programme, so our children can learn values. And to bring some law to regulate the TRP backed news.",,,,,,,,,,,,,,,,,,,,,
3,"Dear PM Modi,",,,,,,,,,,,,,,,,,,,,,
4,"Honorable PM sir,
           My complaint about a serious concern is here in pdf.",,,,,,,,,,,,,,,,,,,,,
5,"My name is Ayushi Gupta and I belong to Kanpur, UP.
I want to make you aware with the fact that private schools​ increase fees regularly after a year. As i am a student so i want do a request that please set some limitations on these schools so that poor class and middle class men afford to send their children to these schools.
Please set limitations on fees system, please.
 If there will some mistakes in language written by me then please ignore it.
Thanks",,,,,,,,,,,,,,,,,,,,,
6,Regarding sale of antibiotics & other medicines at medical stores w/o prescription.,,,,,,,,,,,,,,,,,,,,,
7,"BJP's decision not to give ticket to sitting councilors for the ensuing election of Municipalities in Delhi, is a welcome move to root out corruption from Local Government like the bold decision for demonetisation. Local Governments whether ruled by BJP or Congress are dens of corruption. Transparency and Accountability is poor. This surgical strive is required in all municipalities to improve service delivery for civic amenities.",,,,,,,,,,,,,,,,,,,,,
8,"Respected sir, I like to suggest that there must be an amendment in our judicial law against dealing with any person or who is involved in printing or bringing in fake currency,  dealing with drugs or smuggling gold or other such materials, should be treated as a traitor,  and should be given same punishment as we give to a terrorist, then only we can check these type of crime in our country.",,,,,,,,,,,,,,,,,,,,,
9,"Respected sir,
I myself is a student had completed my degree on 2015 and working for private company but not satisfied with my job i started preparing for goverment jobs.But here the situation is worst then private sector because there is no time limit for declaration of government result for example staff selection commission took 1 year to declare result of Junior engineer result and till now result is yet not declare and same case for railway exam .Please look into this matter.
Thanking you",,,,,,,,,,,,,,,,,,,,,
10,"Namaskar Sir,
Sir my idea is to introduce aadhar card for voting in place of voter card, one official person should scan the Bar/QR code from aadhar card instead of searching the voter name from whole long list & biometrics of the voter should be taken & then only the vote should get registered.This will prevent us from any fake votes as at many places peoples are seen voting many a times & many under age childrens are also seen voting fake votes on name of some other person.This will take a mn",,,,,,,,,,,,,,,,,,,,,
1,"Honourable Prime Minister of India is requested most humbly and most respectfully to Order inquiry into the VICTIMIZATION of a permanent central govt.employee of central excise,Nagpur department for last 21 years,which is UNCONSTITUTIONAL action.  Kindly fully exonerate me(GirishGole)from all false misconduct charges,and respectfully REINSTATE ME  in the new Goods and Service Tax Department(new name of Central Excise from July,2017)Kindly also refer my previous three suggestions on the subject.T",,,,,,,,,,,,,,,,,,,,,
2,"Poor Farmer/Fishermen will have an additional source of income,even after the crop has been harvested/fish net not ok.
Stubble,Rice straw,old Fishing nets etc need not be Burnt & can be converted into Wood/Timber products of any species through application of New WIPO Green Technology-Patent application no. 1746/MUM/2012 (recycles Assorted Waste & Polymers) Intnl. Patent application
ref. http://tinyurl.com/ng7m6m. Concept note for a PILOT Project submitted to TDB ref.http://tinyurl.com/la295t3",,,,,,,,,,,,,,,,,,,,,
3,"Dear Sir,
I wanted you to make some stringent laws on below going around problems which have become a nightmare for every individual.
Now-a-days girls are not even safe at home. Anybody can do any harm to a women.Even kids are being hunted for satisfaction of men.People have become fearless of doing crimes as they know the extent of the punishments/penalties.After imprisonment of 1 or 2 years they are released with more powers and will do more crimes.We are not safe in this independent India.",,,,,,,,,,,,,,,,,,,,,
4,"Respected sir
I m suggestions is to remove a government call center which will help people to understand the policy done by government for them .which can help to know the status of work they have applied in government .many of time miss guide is done regarding govt policy Doing this can help each and every person to understand what govt has planned for their betterment and how make use of it and how to apply for it .Doing this can also increase job for youngsters",,,,,,,,,,,,,,,,,,,,,
5,"Shri Modi jee, honourable Prime Minister of India, is requested to kindly Order regulation of service of this permanent Central Government Employee (Girish Gole) who is UNCONSTITUTIONALLY VICTIMIZED out of C.C.S. by Central Excise,Nagpur Department for last 21 Years,after making false and fabricated charges of misconduct,without holding MANDATORY INQUIRY.  kINDLY ORDER MY FULL EXONERATION AND URGENT RESPECTFULL REINSTATEMENT IN CENTRAL GOVERNMENT OF INDIA'S DUTY EMERGENTLY. THANKS.",,,,,,,,,,,,,,,,,,,,,
6,"Respect Sir,
My concern is regarding reservation system whether its for getting admission/job. Sir i want to state that reservation was for financial upliftment and for providing chances to those who are not well education wise and financial wise. After providing reservation we have completed one generation with this system. Noe for better penetration we sould have only two sections: 1) Creamy and 2) Non-creamy. So that caste base reservation should b ended n worthy can get what dy deserve.",,,,,,,,,,,,,,,,,,,,,
7,"Hello Sir,",,,,,,,,,,,,,,,,,,,,,
8,"Hi Sir,
I am very impressed by the way you have inspired all of the nation to attend to basic issues like cleanliness and individual health. Water being a basic source of life, it is not used cautiously by people. Many lives suffer due to shortage of drinking water. I am very much driven towards saving water and using water efficiently. If you can talk about efficient utilisation of water at homes in #MannkiBaat, that would inspire people to be more responsible.",,,,,,,,,,,,,,,,,,,,,
9,"Honourable PM Sir,
I am Pankaj A Wankhede working as a officer at Bank of Baroda at Nagpur city of Maharashtra state And my wife Mrs Ankita Bhawatmange is also working as a officer at Dena Bank and is on unauthorise leave from Nagpur Zone of Dena Bank since jan2016 Because she had applied for request transfer on marriage ground to Nagpur city but her Dena Bank Nagpur Zonal Head forced to post her at Gondia city which is four hrs far from Nagpur .Sir kindly do a needful for bank married couple .",,,,,,,,,,,,,,,,,,,,,
10,Few words about copying in examinations as media showing Mathura as a place of mass copying.,,,,,,,,,,,,,,,,,,,,,
1,Respected Mr. Prime Minister. I would like to suggest you that you should make Mandi traders as well as those aadhti who buy crops directly from farmers registration compulsory. Right now they are giving farmers only cash payment even if farmer has a bank account they are not giving them cheques and also paying farmers less money citing reason that they don't have enough cash with them. Make this compulsory that only those Mandi traders as well as aadhti who are registered can buy from farmers.,,,,,,,,,,,,,,,,,,,,,
2,dear Prime Minister Modi ji sir the way you encourage people to give up LPG subsidy the same initiative can be shown with regard to surrendering the reservation facility available to reserved categories after 70 years of Indian independence the country needs quality and merit in every field and this objective cannot be fulfilled as long as we have reservation and appeasement policy which was practiced by all previous governments,,,,,,,,,,,,,,,,,,,,,
3,Please see PMOPG/E/2016/0420674.,,,,,,,,,,,,,,,,,,,,,
4,"Sir,I would like you to talk about International Women's day and doctor's security.",,,,,,,,,,,,,,,,,,,,,
5,22nd March is world water day. Pls create awareness about preserving water for the future generations. Also reviving open wells will go a long way in solving water shortages across India. This was a part of every family a few decades back.  Bore wells are actually bad as they suck out water from the earth's crust which mostly is non potable. Bore wells must be banned.,,,,,,,,,,,,,,,,,,,,,
6,"With due respect..!!
Sir
I want to suggest u an idea by which we can help the homeless sleeping in the streets... It's not at all a vast idea...what is needed is only waste nd not waste of something else but the thing which is the major problem for global warming these days it's plastic.. yes!only by the use of plastic we can give the homeless a home to live in...Nd also by the wasted plastics..the plastics which are not in use!!sir please I request please think once about this pls sir!",,,,,,,,,,,,,,,,,,,,,
7,"Sir, please, unnecessary  sound pollution ke liye hamara sabko health kharap ho ja raha hay. Horn,sound box etc.thank you.",,,,,,,,,,,,,,,,,,,,,
8,"Dear sir,
There is no clear picture of new 2000 and 500 currency notes on which something is written or some portion damaged. Banks are not accepting same and not telling the conclusion. So I request you to kindly educate us on this matter.
Thank you",,,,,,,,,,,,,,,,,,,,,
9,"Dear Sir,
 I want to draw your attention on the rearrangement of coaches in the Train.",,,,,,,,,,,,,,,,,,,,,
10,"Respected Sir,",,,,,,,,,,,,,,,,,,,,,
1,"Honourable PM Sir,Is there any way common people can have more transparency and accountability on all government spending? Also, is there any time line when common people can expect no corruption in police administration and judiciary? Kindly talk on these topics.",,,,,,,,,,,,,,,,,,,,,
2,"World observes Water Day on 22 March.Water is life.In spite of the fact that 3/4 of earth surface is full of water.But hard fact is that potable water is only a small fraction of this and world faces shortage of potable water. The story is not different in our country as well. All water bodies like river, wells, ponds etc are threatened due to misuse and pollution. Last year a large part of country was affected by severe drought and water crisis. Every drop of water is required to be conserved",,,,,,,,,,,,,,,,,,,,,
3,Sir kindly take notice on frequen cases of attacks on doctors that leads to them going on strike and it severely affects healthcare sector. Thise who attack medical professionals and medical professionals behaving rudely with patients and relatives has become a malice and should be dealt in the hardest way possible.,,,,,,,,,,,,,,,,,,,,,
4,The govt must ban debate on sensitive issues.TV detate vitiate d atmosphere.Ram Mandir if not constructed in Ayodhya where Hindus has belief of Birth Place of Lord Ram in Ayodhya.,,,,,,,,,,,,,,,,,,,,,
5,"Respected sir,
Please increase unreserved coaches in trains because full crowd.
Allot 25% coaches for unreserved seats in trains.",,,,,,,,,,,,,,,,,,,,,
6,"please guide and motivate youth to take out there busy time to think and save the nature on smallest possible level as we want sustainable development (avoiding mistakes that developed countries have done nature earth)
         KEEP THE EARTH GREEN BLUE AND WHITE
         MAKE THE FUTURE MORE BRIGHT.",,,,,,,,,,,,,,,,,,,,,
7,"Dear Sir,
expect some initiative on the amount of pension of private sector industry persons getting now,to be made a respectable amount with yearly revision linked with dearness/cost of living index.
private sector employees are the neglected lot and we shall be happy to get your attention.this sector can utilised for further development of industries even after retirement.",,,,,,,,,,,,,,,,,,,,,
8,"Respected PRIME MINISTER SIR,
As i m watching in our state so many ROJGAR YOJNAS been launched by govt. to provied the loans with subsidy through banks who are tied up with credit guarantee trust for micro and small mediuam enterprises who are concerned to give loans without any COLLATERAL SECURITY according to the ROJGAR SCHEMS BUT ALL BANKS ARE DEMANDING COLLATERAL SECURITY.Its against the rojgar schemes.kindly get some solution for it even most of all banks are tied up with CGTFSME.",,,,,,,,,,,,,,,,,,,,,
9,wifi facility,,,,,,,,,,,,,,,,,,,,,
10,Traffic management,,,,,,,,,,,,,,,,,,,,,
1,Domenstic animals problems on road,,,,,,,,,,,,,,,,,,,,,
2,"We all are elected new panchayat Sarapancha&Naib sarapancha and all other wordmember are decided to make and join our GREAT PRIMEMINISTER program DIGITAL INDIA under to make our panchayat BUDIKAPUDI,Patna,kendujhar,odisha.we pray to our pujya P.M please to take over to make ADARSHAGRAMAPANCHAYT(DIGITALINDIA)in the period 2017-2022 and we are request to our dibyatmanP.M to innagurate our mission and we hope to surely accept our prayers.Thanks,",,,,,,,,,,,,,,,,,,,,,
3,Water problems in old sectors,,,,,,,,,,,,,,,,,,,,,
4,Increase train frequency,,,,,,,,,,,,,,,,,,,,,
5,Any guidance to the youth on how they can join hands with the government in nation building activities - as a social service.,,,,,,,,,,,,,,,,,,,,,
6,"Dear Sir,
It has been more than 4 months since the implementation of currency change. I would humbly recommend you to address on the exact and ultimate effects it has made on the country.
Also a reference to the upcoming GST to educate the about the basics of it at the grassroot level (for the leyman).",,,,,,,,,,,,,,,,,,,,,
7,We all are elected new,,,,,,,,,,,,,,,,,,,,,
8,"Hon Shri Modiji
Accountability and transparency in functioning of our elected representatives - local, state or central bodies - is extremely important to good governance. Why should our elected reps be not mandated to submit to their stake holder - electorate in their constituencies a report card every quarter - just like Public limited companies do for their stake holders.",,,,,,,,,,,,,,,,,,,,,
9,"DEAR SIR,DUE TO STOCK TIPS ADVISORY COMPANIES R CHEATING LIKE ANYTHING WITH INNOCENT PEOPLE & MAKING LIKE BEGGERS.DUE TO THIS CHILDRENS EDUCATION IS EFFECTING & SO MANY FAMILY PROBLEMS LIKE HEALTH ,DAILY NEEDS ETC R ALSO BEEN EFFECTED.SEBI IS NOT TAKING STRONG ACTIONS .DUE TO THEM MY TOTAL SALARY IS GOING TO PAY MY LOAN EMI.LIKE ME HOW MANY FAMILIES R SUFFERING DUE TO THEM?THEY R COLLECTING MONEY BY FORCE.WAYS2CAPITAL,TRIFID RESEARCH& CAPITAL SKY LIKE THIS SO MANY COMPANIES PLZ DO TAKE NCSY ACTN",,,,,,,,,,,,,,,,,,,,,
10,"If you will consider my suggestion to ensure women safety, I shall be highly obiliged to you. Thank you. 3/3",,,,,,,,,,,,,,,,,,,,,
1,"The only work of all the deployed forces will be to stop eve-teasing and molestation. It has the power to react without any FIR or complaint. Also they should be directly answerable to Ministry of Women and Child Development, the CM of the state or the Home Ministry. The best idea is to form an independent organisation which will be answerable to the Honourable Supreme Court. 2/3",,,,,,,,,,,,,,,,,,,,,
2,"Dear PM, To make your and our dream of India to be a developed nation it requires a lot of funds and this can be easily received if you could kindly order for a nationwide audit on all the indian real estate companies to ensure how many acres of government/poramboke lands parcels had/have been looted by these real companies linked with political benamies with help of DTCP, Corporations, Revenue dept, Banks.  Previously these real estate companies used to collect 50% in cash and did they pay tax?",,,,,,,,,,,,,,,,,,,,,
3,"Respected Sir, I am a BE student at BIT Mesra, Patna Campus. When I come across the news of molestation of women through any medium, I personally feel very sorry for the victim that I can't do anything for her. Through this platform I am sharing my ideas to you, so that we can ensure 100% security of our mothers and sisters. India is a huge country and it has a large number of reserved defence forces. Why not we deploy all these forces to stop eve-teasing molestation.1/3",,,,,,,,,,,,,,,,,,,,,
4,"Namaste Pradhan Mantriji,
I Nidhi Nikhil Gunari,am a women entrepreneur and a big fan of your work and vision of NAMO INDIA. Your revolutionary ideas are very inspiring. My vision is to empower as many women as possible in the displaced fisherman community,in line with your Blue Revolution vision. I am currently in Chile studying Salmon fish farming and would like to bring modern aquaculture technologies in rural coastal INDIA. I am seeking your help to fulfill THE NAMO Blue Revolution Vision!!",,,,,,,,,,,,,,,,,,,,,
5,"Dear Sir,wish you all the best for new mandate for four states.Sir,just to put your notice for sewerage project at Bilaspur Chhattisgarh.From last 9 years this project is undergoing & we are facing a great problem for roads & basic amenities.Daily we are seeing digging & filling of Bilaspur roads.Almost development of Bilaspur is attachment inspite of largest & potential railway zone.Its my humble request to you to kindly look after this matter & personally you intervene this.Need development.",,,,,,,,,,,,,,,,,,,,,
6,"DEAR SIR FPI can be a tool to create a pool of employment opportunites, need to harness this sector with dedication and passion.Food processing has potential to turnaround whole economy. Indian economy is still agrarian, because about 55% population is directly dependent upon agriculture. FPI directly targets farming sector as it attempts to create more types of products out of single crop. This will increase demand for farmers and hence more remunerative prices.FPI CAN PLAY A GREAT ROLE !!!",,,,,,,,,,,,,,,,,,,,,
7,"DEAR SIR i would like share my suggestions with regard to FPI.India’s demographic dividend is much talked about and most of this lies in rural India. Indian youth is turning away from agriculture.FPI is employment intensive industry; it can be an answer to jobless growth of past decade. Currently, only 3 % of employment is in FPI, while in developed countries it handles 14% population. Again, much of the employment will be created into rural India. This can remedy problem of distress migration",,,,,,,,,,,,,,,,,,,,,
8,"DEAR SIR, Please ensure Aadhar registration in  sates of meghalaya. AS far until now Aadhar registration intiative is not fully implemented in Shillong. for state govt do not have any concern in registering aadhar and people are waiting since a year, lot of issue have been found due to having aadhar card as it is mandaotory now a days .
please please MODI sir ...look into the matter in ensuring Adhar registration process
jai hind !!",,,,,,,,,,,,,,,,,,,,,
9,"Educated people can provide there service to government school.
Government can provide a platform where interested candidate can register there availability and provide some sessions to school placed nearby.
Computer awareness program, Skill development program for teachers and many more activities can be conducted.
These all can be done free of charge and it will truly enhance level of primary or secondary school childs.",,,,,,,,,,,,,,,,,,,,,
10,"THANKS RESPECTED MODI JI FOR BEING OUR PRIME MINISTER, ITS MY HUMBLE REQUEST TO YOU DO MAN KI BAAT ON THIS TOPIC- IN GOVERNMENT UNIVERSITY'S HOSTELS, LARGE NUMBER OF STUDENTS KEEP THEIR FAN AND TUBELIGHTS ON WHILE GOING TO SOME WORK AND DAILY VERY LARGE AMOUNT OF ELECTRICITY IS WASTE AND THIS ELECTRICITY CAN BE SOURCE OF LIGHT FOR POOR BECAUSE ACCORDING TO WORLD BANK 24.7% OF INDIAN POPULATION LIVES IN DARK. SO I REQUEST YOU SIR PLEASE REQUEST STUDENTS TO TURN OF LIGHT AND FAN WHEN NOT IN USE",,,,,,,,,,,,,,,,,,,,,
1,"Sir, I'm nagashree studying BSc, I want to give you a suggestion. Sir as you know our education system has corrupted and no one is doing agriculture also.... Why can't we adopt agriculture in education from primary itself, so that it will help to so many students to cultivate and lead their life or as a hobby..... Sir if we have this then our youth will change our India........",,,,,,,,,,,,,,,,,,,,,
2,"will suggest u that u give a call to the people to follow traffic rules like you did in case of ""Swachta Abhiyan'.The Indian charac'r of natural indiscipline,feudalism,arrogance in its most ugly form is most visible on road both as pedestrian,bike and motor driver.Tell people to take a vow, as a participant in building a ""New India"",  to follow traffic rules- strict lane driving,mandatory use of indicator light by motorist while even changing lanes, keeping proper distance between vehicles etc",,,,,,,,,,,,,,,,,,,,,
3,"You c talk of demographic dividend of people below 35.But I may suggest that you tap into the energies of your contemporaries ie senior citizens ie  people aged 60+. U have made them so energetic by your examoke.Create a statutory data bank of senior citizens at ward level with details of  their experience,their area of choice  etc and assign them areas,nearby villages for imparting sanitation,agricultural,technical,medical ,banking,educational,digital guidance.I yearn for such activities myself",,,,,,,,,,,,,,,,,,,,,
4,sir education system of the country must be improved.you have to work on this.it is only the way make our country great.,,,,,,,,,,,,,,,,,,,,,
5,"Namasthe, ",,,,,,,,,,,,,,,,,,,,,
6,"Govt should adopt or replicate Israeli water management technology & techniques to solve water crises issues in India. When from water shortage deserted country turned to water surplus country, we can easily achieve if govt decides, that too with reduced cost by using solar power where ever required.. Video link attached",,,,,,,,,,,,,,,,,,,,,
7,"I am Dr.Sagar Chawla. I am a Dentist by Profession and I have done BDS and MDS. There are very less jobs for Dentists in Govt. and Private Hospitals. May be Due to less jobs political approches appear and person having strong political connection gets the job irrespective of his experiance, talent and knowledge.
I request you to please increase jobs for Dentists.",,,,,,,,,,,,,,,,,,,,,
8,"Honorable PM
Doctor-patient relationship is at its worst today. Innumerable cases of assault on doctors, yet not a single conviction. Utmost need for better security for doctors and stringent laws for assaulters (preferably non-bailable offence).
Regards",,,,,,,,,,,,,,,,,,,,,
9,"Modiji Namaste, The driving practices in our country needs improvement.  We should take test of all drivers after every 3 years to continue them drive, which will have simulation using simulators on various scenarios and conditions and driver to take decisions and act accordingly. Such tests can be taken online from home computers or from computers in designated centers. eg. at zebra crossing if we see people,how to act. or while taking turn which lane to use. or overtaking rules etc. etc.",,,,,,,,,,,,,,,,,,,,,
10,Modi ji namaskar ;I have an idea to solve our nation population problem .if you are serious and interested .invite me to serve .,,,,,,,,,,,,,,,,,,,,,
1,"Hon'ble PM
Much needed issue to be addressed is the worsening doctor patient relationship. Security of doctors to be considered. ",,,,,,,,,,,,,,,,,,,,,
2,"Sir,
Just to promote tourism,Tourists have been taxed at double the rate i.e., from 4.5% to 9%. This may be reduced. (1) One last chance may be allowed to exchange the Old Rs.500 & Rs.1000 notes. (3) Retirement age of Govt. servant need to be raised from 60 years to 62 retiring during March 2017(4)Donations to Sainik Kalyan Nidhi may be exempted from Income Tax.",,,,,,,,,,,,,,,,,,,,,
3,"The following suggestions have been sent for inclusion in Mann ki baat through 'suggestion'of Narendra Modi Ap. Not sure if brought to your notice, so this commum
1)I will suggest you that you give a call to the people to follow traffic rules like you did in case of ""Swachta Abhiyan. Tell people to take a vow,in building a ""New India"",  to follow traffic rules  and jams,no accident except one, strict lane driving,mandatory use of indicator light by motorist while even changing lanes etc",,,,,,,,,,,,,,,,,,,,,
4,"Dear Respect, 100 days Work Plan, Create PinCode as GroupID, all of beneficiaries must register with Aadhar Card No,Aadhar Pincode must match with GroupID.Automatically shows, which one is real or duplicate.Thanks",,,,,,,,,,,,,,,,,,,,,
5,"Sir,Although the govt. has taken various steps in order to educate the people to give way to ambulance but it has not worked.In today's world GPS has a very deep penetration from mobiles to modern cars.So, I think we should design a central application for all the ambulances in the country so that whenever an ambulance is on the move, the traffic on that particular route is regulated accordingly to provide it a green corridor.",,,,,,,,,,,,,,,,,,,,,
6,"EDUCATE A CHILD WHILE STUDYING ITSELF) TODAYS YOUNGESTER ARE INTERESTED 2 CONTRIBUTE THEIR EFFORTS 2 BUILD BETTER NATION. WE CAN ENCOURAGE YOUNGSTER WHO ARE INVOLVED IN STUDYING AT COLLEGE LEVEL MAY ADOPT A KID WHO ARE ECONIMICALLY UNABLE 2 HIRE PRIVATE TUTOR OR THEY CAN TEACH CAPABLE KIDS 2 GET EMPLOYED DURING COLLEGE. THIS INTIATIVE WILL HELP MILLIONS KIDS 2 GET BASIC EDUACTION AND YOUNGSTER MAY GET EMPLOYMENT.I HAD MADE A PLATFORM TUTORDEKH.COM TO IMPLY THIS.
RATNESH RAI (FOUNDER)
VARANASI",,,,,,,,,,,,,,,,,,,,,
7,"Sir, Please arrange 100 dustbin for your govt. Because we do every sunday Swaccha Abhiyan & Local administration is  interest but they are not serious about this Abhiyan. Sir Muze purna visvas he ke aap meri is vinti ko bahut jaldi sunege, me aapke answer ka intjar karunga. Sir Ek din me Barwani ko Inida ki swacch city me samil karwanunga. My email - damodarsharmabarwani@gmail.com",,,,,,,,,,,,,,,,,,,,,
8,Need to address the deadlock of worsening doctor patient relationship. Especially MARD - Mumbai - Maharashtra. Balance act from both sides need to be brought forward at the earliest.,,,,,,,,,,,,,,,,,,,,,
9,"Hon’ble P M,",,,,,,,,,,,,,,,,,,,,,
10,"Hon’ble  P M,",,,,,,,,,,,,,,,,,,,,,
1,Hamare rastra gaan ki ek line jo ki Punjab sindh gujraat Maratha hai.is line me sindh ko hatakar waha Kashmir likh dena chahiye. Kyoki sindh Pakistan ka part h. To is kaaran Kashmir ko jodne se uske prti ek nyi Kashmir ko jodne ki soch ko bal milega. Jai hind. We love our pm modi.,,,,,,,,,,,,,,,,,,,,,
2,"Respected PM Sir,    Now that a High Court has accorded river Ganga a Living Entity,the Govt should take punitive action against those who damage the river.An awareness campaign should be launched for this on the lines of Consumer Protection Act.    With Regards",,,,,,,,,,,,,,,,,,,,,
3,"SABI COLLEGE KO ,PVT LTD COMPANY SE LINK KARDO.JAISE HAI STUDENT APNI STUDY PURI KARE VAISE HI USE COMPANY MAI JOB LAG JAYE.",,,,,,,,,,,,,,,,,,,,,
4,"Why? staff of coaching not ask student that why you perform bad what was the resons? etc and Fee of kota coaching is also very high and education for every students(except Star batch students which consist max 100 student) is 3rd grade means You education department have to pay attention towards Kota,Rajastahn and Modify JEE (Mains +Adv) Entrance pattern if syllabus is not compitative with NCERT then Why govt prescribed these book and that is the resons why students attempt to sucied in *KOTA*",,,,,,,,,,,,,,,,,,,,,
5,"Hello Sir,
I would like to highlight cashless facility implementation in one of the department of your home-ground state. Yes its 'Gujarat', and the department is home registration.",,,,,,,,,,,,,,,,,,,,,
6,"Why? staff of coaching not ask student that why you perform bad what was the resons? etc and Fee of kota coaching is also very high and education for every students(except Star batch students which consist max 100 student) is 3rd grade means You education department have to pay attention towards Kota,Rajastahn and Modify JEE (Mains +Adv) Entrance pattern if syllabus is not compitative with NCERT then Why govt prescribed these book and that is the resons why students attempt to sucied in *KOTA*",,,,,,,,,,,,,,,,,,,,,
7,"Why? staff of coaching not ask student that why you perform bad what was the resons? etc and Fee of kota coaching is also very high and education for every students(except Star batch students which consist max 100 student) is 3rd grade means You education department have to pay attention towards Kota,Rajastahn and Modify JEE (Mains +Adv) Entrance pattern if syllabus is not compitative with NCERT then Why govt prescribed these book and that is the resons why students attempt to sucied in *KOTA*",,,,,,,,,,,,,,,,,,,,,
8,"Respected Sir
           If the rules and regulations of BPOs are made compulsory for the small companies all over our country life would really get better.BPOs give offer letters, experience letters , salary slips but this is not given but small companies and they have no pressure to hire employees in a proper regulated way.which actually causes problems for the employees later on...",,,,,,,,,,,,,,,,,,,,,
9,JO BHI CORREUPTED PEPOPLE HAI SYSTEM MAI .UNKE UPAR JALDI SE JALDI ACTION LEKE SUPEND KARO.,,,,,,,,,,,,,,,,,,,,,
10,"Resp. Sir,
Saadar Pranam!
There may be many of us, who believe that, every day in one's life's a lesson by itself. If this's true, then, we could as well say that, March 2017 has indeed been REMARKABLE in giving new lessons/directions to a MARCHING(AHEAD) NEWINDIA.
Noticeably, there r lessons to be learnt by every Indian, whether someone believes in d emergence of new India or not, & thru' this forum, request u to reflect light on d same thru Mann Ki Baat, vide ENCL PDF file for details",,,,,,,,,,,,,,,,,,,,,
1,"Respected pm sir,first of all I want to congratulate you for your huge successful appeal to give up LPG subsidy.Sir we all know about corruption in police departments and offices where common man has to interact in daily life.Sir I am very much sure if you make an appeal to give up taking bribe it will also make same impact.thank you Sir",,,,,,,,,,,,,,,,,,,,,
2,AAISA KANUN LAO KI JALD SE JALD SAB KO INSAF MIL SAKE.JYADA SE JYADA COURT OPEN KIJIYE AUR DESH KA AUR COMMAN MAN KA TIME BACHAYE,,,,,,,,,,,,,,,,,,,,,
3,"Why? staff of coaching not ask student that why you perform bad what was the resons? etc and Fee of kota coaching is also very high and education for every students(except Star batch students which consist max 100 student) is 3rd grade means You education department have to pay attention towards Kota,Rajastahn and Modify JEE (Mains +Adv) Entrance pattern if syllabus is not compitative with NCERT then Why govt prescribed these book and that is the resons why students attempt to sucied in *KOTA*",,,,,,,,,,,,,,,,,,,,,
4,"#narendramodi's Wrong Decision. A letter to #PMOIndia with request to pay attention.
#MyGov 3Mannkibaat",,,,,,,,,,,,,,,,,,,,,
5,"DEAR SIR,",,,,,,,,,,,,,,,,,,,,,
6,"An affidavit should be taken from RO purifier customers to ensure use of waist water produced by it, i.e. 8 times of useful water.Use of RO is in fashion now a days even where surface water supplied by jal board(not required for them). It will help to aware consumer about wastage and judicial uses of water.Some of possible innovative attachments are shown in the pic here, can be provided by RO manufacturer which will help to use that waist water.
Public awareness=mass saving,JAL HAI TO KAL HAI.",,,,,,,,,,,,,,,,,,,,,
7,"Respected Sir,
I am Swetank Gupta Sir Please Modify entrance exam pettern of IIT(Mains +Adv) Sir i was studied in kato for 2 years and the level of education in KOTA is very high acc to student age and the syllabus of NCERT in neglect by various carrer institute and they can't give attention towards every students they give attention only for those students who is in Star Batch Means in top 50,and thats why if students is on low rank then no teacher no staff anyone not asked why?",,,,,,,,,,,,,,,,,,,,,
8,"Respected sir,
 There are Lof of job vacancies in government companies due to this employees shortage lot of works stopped  so please appointment contract staffs for this vacancies for 10 years.
On this contract period government pay their salary daily basics only
After completed their contract period appointment permanent.",,,,,,,,,,,,,,,,,,,,,
9,"Sir
  Social networking sites like whatsapp and facebook are really good but now a days there are more cases of harassment and more porn related stuff.Can't this all be banned or completetly blocked by the government.It actually harms our image as Indians...compulsory military training for almost any Indian citizen to be able to protect himself/herself and the country.Sir now a days the focus is too much on money and all the bad things...it seems people have actually forgotten about our values.",,,,,,,,,,,,,,,,,,,,,
10,"R/Sir, Aadhar card should not be made compulsory for filing of returns for senior citizens as many are too old to even obtain aadhar number.",,,,,,,,,,,,,,,,,,,,,
1,"HAMARE DESH MAY, EMPLOYEES KO BATA GIYA HAY, JAISE KI CENTRAL GOVT. EMPLOYEE, STATE GOVT. EMPLOYEE AND CONTRACTUAL EMPLOYEES..HAMARA DESH KE EMPLOYEES KO KAB CONTRACTOR KE GULAM SE AZAD HOGA?
ARUNADITYA DEB ROY, TRIPURA EMAIL :- adroy1971@gmail.com. Ph- 8132801658",,,,,,,,,,,,,,,,,,,,,
2,"FOR  IIT's - OBJECTIVE EXAM
FOR MEDICALS- OBJECTIVE EXAM
FOR ANY JOB - OBJECTIVE EXAM IS REQUIRED
BUT IN SCHOOLS -NO OBJECTIVE EXAM",,,,,,,,,,,,,,,,,,,,,
3,"Modi ji, atleast provide Objective question bank to govt school students who are aspiring for IIT's and NIT's quality of education will not be improved unless implementation of objective exams in the schools",,,,,,,,,,,,,,,,,,,,,
4,Introduce skill centres in all major villages. Then youngsters of village will take proper training. Therefore they will no wait any gob/private job and go to self employment way.,,,,,,,,,,,,,,,,,,,,,
